run_id,task_id,condition,model,bucket,mech_class,mech_detail,declared_auto
M2_C2_KP6_T1_can_r09,KP6_T1,C2,M2,numeric_wrong,CV,ddof_0,N
M1_C1_KP6_T3_B_r09,KP6_T3,C1,M1,numeric_wrong,UNMATCHED,unmatched,Y
M3_C1_KP6_T2_B_r09,KP6_T2,C1,M3,numeric_wrong,UNMATCHED,unmatched,Y
M3_C3_KP6_T1_B_r09,KP6_T1,C3,M3,numeric_wrong,UNMATCHED,no_numeric_detail,Y
M1_C2_KP6_T3_can_r09,KP6_T3,C2,M1,numeric_wrong,CV,silent_alt:ddof_0,N
M2_C1_KP6_T3_B_r09,KP6_T3,C1,M2,numeric_wrong,UNMATCHED,no_numeric_detail,N
M2_C3_KP6_T2_B_r09,KP6_T2,C3,M2,numeric_wrong,UNMATCHED,unmatched,N
M2_C3_KP6_T3_B_r09,KP6_T3,C3,M2,numeric_wrong,UNMATCHED,unmatched,Y
M1_C1_KP1_T1_B_r10,KP1_T1,C1,M1,numeric_wrong,UNMATCHED,unmatched,N
M2_C2_KP6_T3_can_r09,KP6_T3,C2,M2,numeric_wrong,CV,silent_alt:rf_geometric,N
M3_C3_KP6_T2_B_r09,KP6_T2,C3,M3,numeric_wrong,UNMATCHED,unmatched,Y
M1_C3_KP1_T1_B_r10,KP1_T1,C3,M1,numeric_wrong,UNMATCHED,unmatched,N
M2_C4_KP6_T3_can_r09,KP6_T3,C4,M2,numeric_wrong,UNMATCHED,unmatched,N
M1_C1_KP1_T2_B_r10,KP1_T2,C1,M1,numeric_wrong,UNMATCHED,unmatched,Y
M1_C3_KP1_T2_B_r10,KP1_T2,C3,M1,numeric_wrong,UNMATCHED,unmatched,Y
M1_C1_KP1_T3_B_r10,KP1_T3,C1,M1,numeric_wrong,CN,hardcoded_constant,N
M1_C3_KP1_T3_B_r10,KP1_T3,C3,M1,numeric_wrong,CN,hardcoded_constant,N
M3_C1_KP1_T3_B_r10,KP1_T3,C1,M3,numeric_wrong,CV,percent_x100,Y
M2_C1_KP2_T1_B_r10,KP2_T1,C1,M2,numeric_wrong,CV,percent_x100,N
M3_C1_KP2_T1_B_r10,KP2_T1,C1,M3,numeric_wrong,CV,percent_x100,Y
M1_C1_KP2_T3_B_r10,KP2_T3,C1,M1,numeric_wrong,CV,rf_geometric,N
M3_C3_KP1_T3_B_r10,KP1_T3,C3,M3,numeric_wrong,CN,hardcoded_constant,N
M1_C3_KP2_T3_B_r10,KP2_T3,C3,M1,numeric_wrong,CV,silent_alt:rf_geometric,N
M2_C2_KP2_T3_can_r10,KP2_T3,C2,M2,numeric_wrong,CV,silent_alt:rf_geometric,N
M1_C1_KP3_T1_B_r10,KP3_T1,C1,M1,numeric_wrong,UNMATCHED,unmatched,Y
M1_C3_KP3_T1_B_r10,KP3_T1,C3,M1,numeric_wrong,UNMATCHED,unmatched,Y
M2_C3_KP2_T3_B_r10,KP2_T3,C3,M2,numeric_wrong,CV,silent_alt:rf_geometric,N
M3_C3_KP2_T3_B_r10,KP2_T3,C3,M3,numeric_wrong,CV,silent_alt:rf_geometric,N
M1_C1_KP3_T2_B_r10,KP3_T2,C1,M1,numeric_wrong,CV,percent_x100,Y
M1_C2_KP3_T2_can_r10,KP3_T2,C2,M1,numeric_wrong,UNMATCHED,unmatched,Y
M1_C3_KP3_T2_B_r10,KP3_T2,C3,M1,numeric_wrong,UNMATCHED,unmatched,Y
M1_C1_KP3_T3_B_r10,KP3_T3,C1,M1,numeric_wrong,UNMATCHED,unmatched,N
M1_C2_KP3_T3_can_r10,KP3_T3,C2,M1,numeric_wrong,UNMATCHED,unmatched,Y
M3_C1_KP3_T3_B_r10,KP3_T3,C1,M3,numeric_wrong,UNMATCHED,unmatched,Y
M1_C3_KP3_T3_B_r10,KP3_T3,C3,M1,numeric_wrong,UNMATCHED,unmatched,Y
M2_C2_KP3_T3_can_r10,KP3_T3,C2,M2,numeric_wrong,UNMATCHED,unmatched,Y
M1_C1_KP4_T1_B_r10,KP4_T1,C1,M1,numeric_wrong,CV,percent_d100,N
M3_C3_KP3_T3_B_r10,KP3_T3,C3,M3,numeric_wrong,UNMATCHED,unmatched,Y
M1_C2_KP4_T1_can_r10,KP4_T1,C2,M1,numeric_wrong,CV,percent_d100,Y
M3_C1_KP4_T1_B_r10,KP4_T1,C1,M3,numeric_wrong,CV,percent_d100,Y
M2_C3_KP3_T3_B_r10,KP3_T3,C3,M2,numeric_wrong,UNMATCHED,unmatched,N
M1_C3_KP4_T1_B_r10,KP4_T1,C3,M1,numeric_wrong,CV,percent_d100,N
M1_C4_KP4_T1_can_r10,KP4_T1,C4,M1,numeric_wrong,CV,percent_d100,N
M1_C1_KP4_T3_B_r10,KP4_T3,C1,M1,numeric_wrong,UNMATCHED,unmatched,Y
M3_C3_KP4_T1_B_r10,KP4_T1,C3,M3,numeric_wrong,UNMATCHED,unmatched,N
M1_C3_KP4_T3_B_r10,KP4_T3,C3,M1,numeric_wrong,UNMATCHED,unmatched,Y
M1_C1_KP5_T1_B_r10,KP5_T1,C1,M1,numeric_wrong,CV,currency_wan,Y
M3_C3_KP4_T3_B_r10,KP4_T3,C3,M3,numeric_wrong,CV,vega_approximation,N
M1_C3_KP5_T1_B_r10,KP5_T1,C3,M1,numeric_wrong,UNMATCHED,unmatched,Y
M1_C1_KP5_T2_B_r10,KP5_T2,C1,M1,numeric_wrong,UNMATCHED,unmatched,Y
M1_C3_KP5_T2_B_r10,KP5_T2,C3,M1,numeric_wrong,UNMATCHED,unmatched,Y
M3_C1_KP5_T2_B_r10,KP5_T2,C1,M3,numeric_wrong,UNMATCHED,unmatched,Y
M1_C1_KP5_T3_B_r10,KP5_T3,C1,M1,numeric_wrong,UNMATCHED,unmatched,N
M2_C1_KP5_T3_B_r10,KP5_T3,C1,M2,numeric_wrong,CN,hardcoded_constant,N
M1_C2_KP5_T3_can_r10,KP5_T3,C2,M1,numeric_wrong,CV,sign_flip,Y
M1_C4_KP5_T3_can_r10,KP5_T3,C4,M1,numeric_wrong,CV,sign_flip,Y
M3_C1_KP4_T3_B_r10,KP4_T3,C1,M3,numeric_wrong,CV,vega_approximation,N
M2_C1_KP6_T1_B_r10,KP6_T1,C1,M2,numeric_wrong,UNMATCHED,unmatched,Y
M1_C2_KP6_T1_can_r10,KP6_T1,C2,M1,numeric_wrong,CV,rf_geometric,Y
M2_C3_KP4_T1_B_r10,KP4_T1,C3,M2,numeric_wrong,CV,vega_per_pct,N
M1_C1_KP6_T1_B_r10,KP6_T1,C1,M1,numeric_wrong,CV,percent_x100,Y
M1_C3_KP6_T1_B_r10,KP6_T1,C3,M1,numeric_wrong,UNMATCHED,unmatched,Y
M1_C1_KP6_T2_B_r10,KP6_T2,C1,M1,numeric_wrong,UNMATCHED,unmatched,Y
M2_C1_KP6_T2_B_r10,KP6_T2,C1,M2,numeric_wrong,UNMATCHED,unmatched,N
M1_C2_KP6_T2_can_r10,KP6_T2,C2,M1,numeric_wrong,UNMATCHED,unmatched,Y
M1_C3_KP6_T2_B_r10,KP6_T2,C3,M1,numeric_wrong,UNMATCHED,unmatched,N
M2_C3_KP6_T1_B_r10,KP6_T1,C3,M2,numeric_wrong,UNMATCHED,no_numeric_detail,N
M3_C1_KP6_T2_B_r10,KP6_T2,C1,M3,numeric_wrong,UNMATCHED,unmatched,Y
M1_C2_KP6_T3_can_r10,KP6_T3,C2,M1,numeric_wrong,CV,silent_alt:rf_geometric,N
M2_C1_KP6_T3_B_r10,KP6_T3,C1,M2,numeric_wrong,UNMATCHED,no_numeric_detail,N
M3_C3_KP6_T1_B_r10,KP6_T1,C3,M3,numeric_wrong,UNMATCHED,unmatched,Y
M3_C1_KP6_T1_B_r10,KP6_T1,C1,M3,numeric_wrong,UNMATCHED,no_numeric_detail,Y
M3_C3_KP6_T3_B_r10,KP6_T3,C3,M3,numeric_wrong,UNMATCHED,no_numeric_detail,Y
M2_C3_KP6_T3_B_r10,KP6_T3,C3,M2,numeric_wrong,UNMATCHED,unmatched,Y
M3_C1_KP6_T3_B_r10,KP6_T3,C1,M3,numeric_wrong,UNMATCHED,no_numeric_detail,Y
M3_C3_KP3_T1_B_r10,KP3_T1,C3,M3,numeric_wrong,CN,hardcoded_constant,Y
